text,abusive_behaviour_score,act_of_terror_score,action_score,afghanistan_score,air_transport_(infrastructures)_score,air_transport_score,algeria_score,alliances_score,anger_score,anxiety_score,armed_attack_(generic)_score,armed_conflict_score,armed_forces_score,arrest_score,arrests_police_custodies_and_detentions_score,arson_score,assassination_score,assault_(general)_score,attacks_on_critical_infrastructures_score,belgium_score,biological_and_chemical_weapons_score,bolivia_score,bombing_score,burkina_faso_score,car_bombing_score,chemical_attack_score,chemistry_score,commitment_score,compassion_score,computer_crime_score,consideration_score,conspiracy_score,counter_terrorism_score,counter_terrorist_attack_score,counterterrorism_operation_score,crime_score,cyber_attack_and_fraud_score,cyber_attack_score,cyber_deception_score,cyber_security_score,damage_score,data_loss_score,death_and_dying_score,defence_score,desire_score,disappointment_score,disaster_and_accident_score,dissent_demonstration_disorders_score,dissolution_score,egypt_score,electricity_production_and_distribution_score,emergency_incident_score,employee_score,environmental_pollution_score,espionage_and_intelligence_score,executive_(government)_score,explosion_score,explosive_score,explosives_score,fire_score,firearms_score,france_score,fraud_score,gang_activity_score,germany_score,hardware_score,hatred_score,homicide_score,ied_and_vbied_score,illicit_drugs_and_controlled_substances_score,injury_score,institution_score,interior_policy_score,international_relations_score,investments_score,iran_score,iraq_score,islam_score,israel_score,job_layoffs_score,judiciary_(system_of_justice)_score,key_groups_score,kidnapping_score,legal_counterterrorism_measures_score,legal_measure_score,libya_score,mass_killings_score,massacre_disaster_accident_fire_score,massacre_score,military_equipment_score,military_infrastructures_score,military_transport_vehicles_score,missile_systems_score,mozambique_score,national_government_score,national_security_score,netherlands_score,niger_score,nigeria_score,offence_score,pakistan_score,parties_and_movements_score,police_operations_score,police_score,political_initiatives_score,politics_score,power_plants_score,pride_score,prison_score,propaganda_and_ideology_score,punishment_score,railway_(infrastructures)_score,rebellions_score,religion_and_belief_score,religious_conflict_score,religious_leader_score,religiously_inspired_terrorism_score,repulsion_score,road_transport_(infrastructures)_score,roadside_bombing_score,russia_score,sadness_score,satisfaction_score,security_measures_score,seizures_and_confiscations_score,shame_score,somalia_score,spirituality_score,stand-off_weapon_score,stress_score,strike_score,success_score,suffering_score,syria_score,terrorism_score,terrorist_attack_on_civilians_and_properties_score,terrorist_attack_on_critical_infrastructures_score,terrorist_attack_on_military_and_police_forces_and_structures_score,terrorist_attack_on_politicians_or_political_or_government_institution_score,terrorist_attack_on_public_building_score,theft_and_robbery_score,theft_score,trust_score,tunisia_score,turkey_score,unconventional_weapons_(ied)_score,united_states_of_america_score,university_score,upper_house_score,war_crime_score,war_score,weaponry_score,weather_score,wmd_score
"Security detachments pick the head of the apostate Al-Arabi, intelligence chief in the city of Ajdabiya. One of the Islamic State's security detachments operating in the city of Ajdabiya - 160 km south of Benghazi city - targeted and killed, in front of his house with machine guns, the apostate Colonel
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Security detachments within the city targeted a car driven by two apostates with an explosive device, resulting in the death of one of them, as well as Haftar's soldiers with rocket-propelled grenades, rocket launchers, and cannons.
",0,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2865,0,0,0
"The Mujahideen used an explosive device to target a truck carrying the Rafidi crowd in Tarmiyah.
",0,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caliphate soldiers detonated several IEDs on the mechanisms and elements of the Safavid army and police and the elements of awakenings in the areas of Mahmoudiya.
",0,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,1200,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0
"Another IED exploded on a car with members of the rejectionist militia \""Asa'ib Ahl al-Haq\"". This resulted in its destruction and the death of its members. Many members of the Safavid army were also killed and wounded.
",0,2820,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,5205,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4860,0,0,4005,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0
"By the grace of God, the Caliphate soldiers were able to provide a BMP vehicle for Leviathan (Haftar) soldiers in the area (Al-Sabri) after being targeted with medium weaponry. And those who push for deception are the Mujahideen Muslims.
",0,0,0,0,0,0,0,0,0,0,4005,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,0,0,0,0,0,5340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"After being targeted with a sticky device, one of the parts of the Apostasy Awakening was liquidated in the city of Benghazi. Sites were also targeted by Islamic State soldiers.
",0,0,0,0,0,0,0,0,0,0,8010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ngmasio (Hama governorate) mourns pagan defense wearers and the soldiers of the Nusayri regime in the village of As'Saboura. 35 Nusayri government and ""National Defence"" militia members were slain.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anbar Province. Battles continue between Caliphate soldiers, Safavid army and its rejectionist militias in areas near the city of Ramadi, where the rejectionists received new losses. In addition to the heavy losses, they suffered last week that amounted to more than 2,500 dead and dozens injured as part of the new military campaign which they announced to retake the city of Ramadi.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3240,0,0,0
"Several members of the Safavid Army and Shiite Popular Mobilization Forces were killed or injured, and some of their vehicles were destroyed, in a series of attacks on their positions in Arab Jabour by Caliphate forces using improvised explosive devices and light and medium guns. Among those targeted mechanisms was a rejectionist Popular Mobilization Forces (PMF) leader's mechanism, which resulted in his injury and the injury of his fellow members.
",0,2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,0,0,0,4860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0
"Caliphate soldiers stationed with improvised explosive devices and light and medium weaponry. Two different operations targeted the mujahedeen in the Sadr al-Youssoufia area.
",0,2370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2910,0,0,0,0,0,0,0,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0
"A vehicle and a foot patrol of the Safavid army were equipped with two explosive devices, resulting in the mechanism's destruction. After violent fighting between the two sides on the fringes of the Al-Rashad and Al-Lahib regions, Islamic State soldiers grabbed possession of four Safavid army barracks.
",0,2190,0,0,0,0,0,0,0,0,0,0,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485,0,0,0
"The city of Al-Karmah, northeast of Fallujah, lays in the destruction of vehicle (Hummer) and a troop carrier, killing and injuring its personnel as the fights between the sides continue. We pray to God for victory and empowerment. He also had an eye on an army soldier.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,4860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Safavid in the vicinity (plateau hills) with sniper guns, which resulted in his death. And it occurred. Also targeted were Safavid army camps and assemblies in various and dispersed locations.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This week, caliphate soldiers murdered at least 135 Peshmerga fighters and injured hundreds more in separate raids in Jazira state. Caliphate soldiers carried out a pre-emptive operation with air support from Crusader Alliance planes while Peshmerga apostates were still proclaiming and plotting an attack on Islamic State strongholds in Sinjar. As 5 mujahedeen plunged themselves in the masses of Peshmerga wearers, it was overrun by God's enemies.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,30,4005,0,0,0,0,0,0,0,0,30,0,0,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,0,0,0,6435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3975,0,0,0
"For almost an hour, clashes erupted in the vicinity of Hardan, northeast of the Sinjar Mountains, interspersed with the detonation of three infiltrating persons with bomb belts on Peshmerga troops while the other two sided. The establishment of the support battalion was then carried out by attacking Peshmerga meetings in the area with Katyusha rockets. As a result of this massive operation, more than 120 Peshmerga apostates were slain.
",0,0,0,0,0,0,0,0,0,0,4005,0,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In another qualitative operation, caliphate soldiers attacked PKK wearers on the route between the hamlet of Iskenderun and the complex of (Khana Sor), and fighting erupted with several apostates riding in an SUV armed with Sprinkler weapons. The caliphate's warriors were able to kill 13 members and hurt a number of others. They did an excellent job, and God bless them. On the other hand, the Crusader-Safavid coalition aircraft bombed a transport vehicle for the Muslim public in the vicinity of (Umm al-Dhiban), killing 11 people.
",0,0,0,0,0,0,0,2430,0,0,4005,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,4005,0,2439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,16875,0,4005,0,0,0,0,0,0,0,0,0,0,0,0,2235,0,0,0
